"","log2FoldChange","padj","Factor"
"ko:K02726",0.234710477798448,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02728",-1.0884860203825,0.920856836514879,"Menthol_Menthol_vs_Control"
"ko:K02732",0.193512323456312,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02865",-0.301955358636583,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02866",-0.207652243246311,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02870",0.361641293994174,0.525636435252414,"Menthol_Menthol_vs_Control"
"ko:K02872",-0.820489012390855,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02873",0.433419503804795,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02877",1.09825610095681,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02880",-0.244584258182975,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02882",-0.210945423204892,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02885",-0.623162578586685,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02889",0.0748166609250902,0.958271248811362,"Menthol_Menthol_vs_Control"
"ko:K02896",-0.142808076247714,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02898",-0.599525841859239,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02901",-0.159572252154957,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02905",0.065640723968957,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02908",0.702526380497034,0.857943833442563,"Menthol_Menthol_vs_Control"
"ko:K02910",0.398009249051412,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02915",-0.0606313833132796,0.968185033470146,"Menthol_Menthol_vs_Control"
"ko:K02918",-0.315580855259966,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02920",-0.222198362519612,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02923",-0.449593757359146,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02924",-0.547446887191125,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02929",-0.706905231196653,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02932",-0.139290510423015,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02936",-0.434035798487859,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02937",1.012497769332,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02938",-0.486792973095058,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02941",-0.391378321328365,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02947",-0.33929964229365,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02949",0.360801718689451,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02951",0.613070661542766,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02953",0.632222144591684,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02955",0.112237094218592,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02958",0.223616081108524,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02962",-0.424572402199708,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02966",0.413938432704244,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02969",-1.00551763923914,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02973",0.967742990466732,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02975",-0.748338139872743,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02976",-1.49512718791594,0.944804636513613,"Menthol_Menthol_vs_Control"
